一级目录,相对路径,页数,文件大小字节,SHA256,同哈希文件数,读取状态,异常原因
10_政策与目录,10_政策与目录/优质中小企业梯度培育/校宝在线首版次证明__16-国家标准参编证明文件.pdf,2,557002,3eeb50a68072b2f1009da6f546d0c1c830f1971a1be5c9a069912937bfaf6c28,1,可读取,
10_政策与目录,10_政策与目录/技术改造和未来工厂/未来工厂、智能制造/市 数字化/杭州钱塘新区管理委员会关于印发“１+４+Ｘ”政策体系文件的通知.pdf,29,8057342,06170b9f70669782a4a4eaf9b63bfccaaccd4f2e01902e60f55adcd341316ab5,1,可读取,
10_政策与目录,10_政策与目录/技术改造和未来工厂/未来工厂、智能制造/杭州市数字化改造攻关/关于征集2023年杭州市“未来工厂”培育企业和制造业数字化改造攻关项目的预通知.pdf,6,281783,57f3c6d2025185c2d1a13c6e97320415a123b18de3f1deb6888c45b69319368f,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/人才项目/2025-05-30__浙江省经济和信息化厅浙江省人力资源和社会保障厅关于公布傅国松等26人具有正高级工艺美术师职务任职资格的通知__c1186981daab4be78e96d28adee959bf/附件/浙江省正高级工艺美术师职务任职资格评审委员会评审通过具有正高级工艺美术师职务任职资格人员名单.pdf,2,152695,26fc43cc5cd97ae43a5d6639305d9adf6c2a8bb8f278b5639e3303e5a3ea805f,4,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/优质中小企业梯度培育/2025-10-20__关于宁波市第七批专精特新“小巨人”企业和2025年专精特新“小巨人”复核通过企业名单的公示__c853f8f533f942c4bfe5d9e407ef6fbb/附件/公示附件名单.pdf,10,904756,51f996f40668574a089ffd16c4b563cbd44e5cab702e68cbf12e4b9589c03763,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/优质中小企业梯度培育/2025-10-28__关于第九批制造业单项冠军企业和复核通过第三批、第六批制造业单项冠军企业名单的公示__752f9a21b577452ab373a9797dc266cd/附件/附件1.pdf,1,76813,e8b604ec8f0d60bec1b2697e34916471609948370cc067307d191a8d86c92a03,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/优质中小企业梯度培育/2025-10-28__关于第九批制造业单项冠军企业和复核通过第三批、第六批制造业单项冠军企业名单的公示__752f9a21b577452ab373a9797dc266cd/附件/附件2.pdf,2,185200,66ea99700c849bb9635f75f97fff68473e86ae630104b3735b4e32721bf7d80c,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/优质中小企业梯度培育/2026-03-20__关于公布2025年度复核通过及新认定第二批宁波市专精特新中小企业名单的通知__d7a8de7108244da48b758cb588019253/附件/[附件下载].pdf,21,4235462,57af89a8d644d5dd9fc4e36d309f59de710a3e38fe39e4482025efbbed499152,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/优质中小企业梯度培育/2026-04-03__关于公布宁波市2025年度上规模小微企业名单的通知__6a126527a75a410cbe2f1969552ebcab/附件/[附件下载].pdf,28,5180644,0d680f207f2e125e0b7ad8817ff086fc69f0be14e7330bb8eca5e2ccec4d262c,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/全省重点实验室/2025-02-12__关于公布2025年度宁波市重点实验室（A类）名单的通知__b05b1f92b50840e89b4e8a0617c2a8e6/附件/关于公布2025年度宁波市重点实验室（A类）名单的通知.pdf,2,258382,4374d941926e2e5e1c4317dab719d0c2595984819feaf24b287343bc0424afbe,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/技术改造和未来工厂/2025-05-29__关于公布2024年度宁波市数字化车间_智能工厂项目的通知__310f58756d014ec3a51183f898273374/附件/[附件下载].pdf,8,976901,e8eccdc9ce7bdea5ffb9e349db3add37159ede97fa0943edbf95df537877fe55,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/研究院/2025-07-16__关于公布宁波市高性能刀具创新中心等3家制造业创新中心验收评估结果的通知__7f4dbab71ffb41698b115eb0c8b4bc6f/附件/[附件下载].pdf,4,380775,c40453cf711712026ff99a227f6237420fe2e208b2890e5668704ecf84b8c80c,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/科技计划/2025-12-30__浙江省科学技术厅关于下达2026年度“尖兵领雁+X”科技计划项目的通知__5b7bf8b7c220431181be47fd349ef779/附件/2026年度“尖兵领雁+X”科技计划立项项目清单.pdf,28,3316977,49205fc43d43610c1b4c0358b419a0efd3d23fa176047c1d6a9e1381db255b09,4,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/综合政策/2025-01-10__关于公布宁波市节水型企业（第十三批）名单的通知__ce4440b101154e2380dff95817e236a8/附件/[附件下载].pdf,8,700489,6315f7135d14f17318cdecd00f0e2ec382a2f12f7e38fbf90bf3ff4e7e4f10c1,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/综合政策/2025-01-21__关于拟认定2024年浙江省历史经典产业传承创新工作室名单的公示__5be9e686241449cf8463ae9a0aebaf18/附件/拟认定2024年浙江省历史经典产业传承创新工作室名单.pdf,4,570840,4d751c07bfe69a202883dae190971f8d7c47cc380c99da855b6bf0980ac4a61c,4,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/综合政策/2025-03-14__关于2024年度宁波市海洋经济“十佳”企业拟入榜名单的公示__17c010e83570453e8e8e4feb6587c17e/附件/2024年度宁波市海洋经济“十佳”企业建议名单.pdf,1,50328,1388eb3442b449b671af07fb5cec934450b05c9feacc85f594cd9e0f6901b6fd,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/综合政策/2025-03-21__关于公布宁波市制造业企业数字化等级评价结果（第六批）的通知__8e70ba3c250e4aae82ddef2cb08e4467/附件/[附件下载].pdf,12,1975588,5ac69d7c186ac3e4590c6d5604ad1932f1d96e24a5b4fde82fed1774f734978f,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/综合政策/2025-05-20__关于公布2024年度宁波市自愿清洁生产审核验收合格企业名单的通知__e146fcae419b4d32884794610871a906/附件/[附件下载].pdf,8,906227,857998f19dfff5a1729e301741ea282cd9578b1c22918ab8df83015b02bc1d14,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/综合政策/2025-05-28__关于公布宁波市制造业企业数字化等级评价结果（第八批）的通知__7a3d28905c7946229b69d7c30f218463/附件/[附件下载].pdf,8,1533117,9e2897a971891c68af030713f1f816812741b61a365b29329c2edd3a366db9dc,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/综合政策/2025-06-11__关于公布宁波市中小企业公共服务平台及宁波市中小企业公共服务示范平台的通知__67c9f12ef4fb4d6db98e1a3486182de0/附件/[附件下载].pdf,12,1283643,411f085b4942bcda19e20dd8fd7282db1740479def0132e43ae8667f2a630bd4,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/综合政策/2025-07-03__关于公布2025年度宁波市新能源及智能网联汽车关键零部件强链补链产品名单的通知__6e688de91aa0400394200a2dcbc38c5d/附件/[附件下载].pdf,4,396257,7bb7d0fdab8008a198385f2e5f729c5c077a6fc82c2a9b142e0297ee1f9030ff,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/综合政策/2025-07-18__2025年度浙江省工业设计职业资格考试成绩通过人员考后公示__8aa16ab6ca1e40189093b27eb55eeaa0/附件/附件2：浙江省社会保险和就业服务中心办公室关于做好2025年度工业设计职业资格考试考务工作的通知.pdf,11,500975,e612bdfa823040aab9f26b78dd3b5e64a588b0012febe9e7669036df152c397f,4,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/综合政策/2025-08-01__宁波前湾新区生态环境局2025年8月1日关于建设项目环评审批决定的公告__be9b4df41d4346d1b780f351c9572263/附件/甬新环建〔2025〕53号.pdf,4,1541867,9885031afaace22451291039c56c32673db3957cb8aeb59d39d638f7957262ba,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/综合政策/2025-08-01__宁波前湾新区生态环境局2025年8月1日关于建设项目环评审批决定的公告__be9b4df41d4346d1b780f351c9572263/附件/甬新环建〔2025〕54号.pdf,4,997347,c844f39d9f835a658473119484d529f4af5a642e425d944d77e3e104ba67c3b5,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/综合政策/2025-08-22__关于《宁波市5G基站布局规划（2024-2035年）》的公示__d21f3daf5b924daabe23d839db0acba2/附件/2.《宁波市5G基站布局规划（2024-2035年）》规划公示图纸.pdf,24,142609109,3a68b6d329dc71791cc324f679bc99a08413e9fe0eccd898454bbe3be0ee0437,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/综合政策/2025-08-29__宁波前湾新区生态环境局2025年8月29日关于建设项目环评审批决定的公告__7d47ebadee214ccd806aed8850744c50/附件/甬新环建〔2025〕56号.pdf,4,1311962,2dca76b614aa6009348d37da250bac44c010b437cd2c374a9a05b9741d779175,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/综合政策/2025-08-29__宁波前湾新区生态环境局2025年8月29日关于建设项目环评审批决定的公告__7d47ebadee214ccd806aed8850744c50/附件/甬新环建〔2025〕57号.pdf,4,1029026,c7fb3d155020cefa8c3525b6186e3e81a5e49c144a871993c005563626401395,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/综合政策/2025-11-20__关于公布宁波市级绿色制造名单（第六批）的通知__a3efd10a90554f298b6563b7b36749fd/附件/[附件下载].pdf,8,1075902,55c33587e37ae68e013820a2a877e1c900561a7edb73d4456384c9b342d0f55e,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/综合政策/2025-12-30__关于公布宁波市第一批历史经典产业名录的通知__e4ec3a9c74ca4351b17b557f130ed415/附件/[附件下载].pdf,4,201983,db78df309e72a70a04ca5f5ef9b5023b39bf84ff23c7c862a52e2444e59d87e2,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/综合政策/2026-02-02__关于公布2025年度人形机器人产业政策申报结果的通知__d88e5bcc194646ddafe5a3cbd2a77e41/附件/[附件下载].pdf,4,299084,d12e989388e44c6fb428a64aaf81b242d9749ee9a7b7bdfd3e1f10444c9748e9,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/综合政策/2026-03-20__关于公布宁波市制造业企业数字化等级评价结果（第十二批）的通知__3b850313970941f184eadc48c8813fda/附件/[附件下载].pdf,8,1711109,aabe15b80ff9c8b6c18390f8d95de3ab84d24ae6da5a3f6bfe024d895cdc3cdb,1,可读取,
10_政策与目录,10_政策与目录/政策数据库/企策顾问/公示公告/宁波市/综合政策/2026-06-25__关于公布宁波市制造业企业数字化等级评价结果（第十三批）的通知__a412ec1f412a4981afe9087882693e81/附件/[附件下载].pdf,12,2139369,00bff519c3049deda6fd8c17eed676ae278babcdb8d7191a6a4e2f4eaff326e9,1,可读取,
