ipc_subclass,zhejiang,hangzhou,overlap,zhejiang_release_date,hangzhou_release_date
A01C,0,1,0,2024-07-11,2024-07-23
A01D,0,1,0,2024-07-11,2024-07-23
A01G,1,0,0,2024-07-11,2024-07-23
A01H,1,0,0,2024-07-11,2024-07-23
A01K,1,0,0,2024-07-11,2024-07-23
A01N,1,0,0,2024-07-11,2024-07-23
A23B,1,0,0,2024-07-11,2024-07-23
A23F,1,0,0,2024-07-11,2024-07-23
A23K,1,0,0,2024-07-11,2024-07-23
A23L,1,0,0,2024-07-11,2024-07-23
A61B,1,1,1,2024-07-11,2024-07-23
A61C,1,0,0,2024-07-11,2024-07-23
A61F,1,1,1,2024-07-11,2024-07-23
A61H,1,0,0,2024-07-11,2024-07-23
A61J,1,0,0,2024-07-11,2024-07-23
A61K,1,0,0,2024-07-11,2024-07-23
A61L,1,1,1,2024-07-11,2024-07-23
A61M,1,1,1,2024-07-11,2024-07-23
A61N,1,0,0,2024-07-11,2024-07-23
A61P,1,0,0,2024-07-11,2024-07-23
A63F,0,1,0,2024-07-11,2024-07-23
B01D,1,1,1,2024-07-11,2024-07-23
B01F,1,1,1,2024-07-11,2024-07-23
B01J,1,0,0,2024-07-11,2024-07-23
B01L,0,1,0,2024-07-11,2024-07-23
B02C,0,1,0,2024-07-11,2024-07-23
B03C,1,0,0,2024-07-11,2024-07-23
B05B,0,1,0,2024-07-11,2024-07-23
B07B,0,1,0,2024-07-11,2024-07-23
B07C,0,1,0,2024-07-11,2024-07-23
B08B,1,1,1,2024-07-11,2024-07-23
B09B,1,0,0,2024-07-11,2024-07-23
B09C,1,0,0,2024-07-11,2024-07-23
B21D,0,1,0,2024-07-11,2024-07-23
B23B,0,1,0,2024-07-11,2024-07-23
B23D,0,1,0,2024-07-11,2024-07-23
B23K,0,1,0,2024-07-11,2024-07-23
B23P,0,1,0,2024-07-11,2024-07-23
B23Q,0,1,0,2024-07-11,2024-07-23
B24B,0,1,0,2024-07-11,2024-07-23
B25B,0,1,0,2024-07-11,2024-07-23
B25J,0,1,0,2024-07-11,2024-07-23
B26D,0,1,0,2024-07-11,2024-07-23
B28B,1,0,0,2024-07-11,2024-07-23
B28C,1,0,0,2024-07-11,2024-07-23
B29B,0,1,0,2024-07-11,2024-07-23
B29C,0,1,0,2024-07-11,2024-07-23
B29D,1,0,0,2024-07-11,2024-07-23
B30B,0,1,0,2024-07-11,2024-07-23
B32B,1,0,0,2024-07-11,2024-07-23
B33Y,0,1,0,2024-07-11,2024-07-23
B60G,0,1,0,2024-07-11,2024-07-23
B60K,1,0,0,2024-07-11,2024-07-23
B60L,1,0,0,2024-07-11,2024-07-23
B60N,0,1,0,2024-07-11,2024-07-23
B60P,0,1,0,2024-07-11,2024-07-23
B60Q,1,0,0,2024-07-11,2024-07-23
B60R,0,1,0,2024-07-11,2024-07-23
B60S,0,1,0,2024-07-11,2024-07-23
B60T,0,1,0,2024-07-11,2024-07-23
B60W,1,1,1,2024-07-11,2024-07-23
B61L,0,1,0,2024-07-11,2024-07-23
B62D,1,0,0,2024-07-11,2024-07-23
B63B,0,1,0,2024-07-11,2024-07-23
B63C,0,1,0,2024-07-11,2024-07-23
B63H,0,1,0,2024-07-11,2024-07-23
B64C,0,1,0,2024-07-11,2024-07-23
B64D,0,1,0,2024-07-11,2024-07-23
B64U,0,1,0,2024-07-11,2024-07-23
B65B,0,1,0,2024-07-11,2024-07-23
B65D,0,1,0,2024-07-11,2024-07-23
B65G,0,1,0,2024-07-11,2024-07-23
B65H,0,1,0,2024-07-11,2024-07-23
B66B,0,1,0,2024-07-11,2024-07-23
B66C,0,1,0,2024-07-11,2024-07-23
B66F,0,1,0,2024-07-11,2024-07-23
B81B,0,1,0,2024-07-11,2024-07-23
B81C,0,1,0,2024-07-11,2024-07-23
B82Y,1,1,1,2024-07-11,2024-07-23
C01B,1,0,0,2024-07-11,2024-07-23
C02F,1,0,0,2024-07-11,2024-07-23
C04B,1,0,0,2024-07-11,2024-07-23
C05G,1,0,0,2024-07-11,2024-07-23
C07B,0,1,0,2024-07-11,2024-07-23
C07C,1,0,0,2024-07-11,2024-07-23
C07D,1,0,0,2024-07-11,2024-07-23
C07F,1,0,0,2024-07-11,2024-07-23
C07H,1,0,0,2024-07-11,2024-07-23
C07K,1,0,0,2024-07-11,2024-07-23
C08B,1,0,0,2024-07-11,2024-07-23
C08F,1,0,0,2024-07-11,2024-07-23
C08G,1,0,0,2024-07-11,2024-07-23
C08J,1,0,0,2024-07-11,2024-07-23
C08K,1,0,0,2024-07-11,2024-07-23
C08L,1,0,0,2024-07-11,2024-07-23
C09D,1,0,0,2024-07-11,2024-07-23
C09J,1,0,0,2024-07-11,2024-07-23
C09K,1,0,0,2024-07-11,2024-07-23
C10B,1,0,0,2024-07-11,2024-07-23
C10G,1,0,0,2024-07-11,2024-07-23
C10J,1,0,0,2024-07-11,2024-07-23
C10L,1,0,0,2024-07-11,2024-07-23
C12G,1,0,0,2024-07-11,2024-07-23
C12M,1,1,1,2024-07-11,2024-07-23
C12N,1,0,0,2024-07-11,2024-07-23
C12P,1,0,0,2024-07-11,2024-07-23
C12Q,1,0,0,2024-07-11,2024-07-23
C22C,1,0,0,2024-07-11,2024-07-23
C25B,1,0,0,2024-07-11,2024-07-23
C30B,1,0,0,2024-07-11,2024-07-23
D01F,1,0,0,2024-07-11,2024-07-23
D02G,1,0,0,2024-07-11,2024-07-23
D04B,1,0,0,2024-07-11,2024-07-23
D04H,1,0,0,2024-07-11,2024-07-23
D06M,1,0,0,2024-07-11,2024-07-23
D21H,1,0,0,2024-07-11,2024-07-23
E02B,1,1,1,2024-07-11,2024-07-23
E02D,1,0,0,2024-07-11,2024-07-23
E02F,0,1,0,2024-07-11,2024-07-23
E03F,1,0,0,2024-07-11,2024-07-23
E04B,1,0,0,2024-07-11,2024-07-23
E04D,1,0,0,2024-07-11,2024-07-23
E04F,1,0,0,2024-07-11,2024-07-23
E04H,1,0,0,2024-07-11,2024-07-23
E21B,0,1,0,2024-07-11,2024-07-23
F01D,0,1,0,2024-07-11,2024-07-23
F01K,1,0,0,2024-07-11,2024-07-23
F01N,1,0,0,2024-07-11,2024-07-23
F02B,1,0,0,2024-07-11,2024-07-23
F02C,0,1,0,2024-07-11,2024-07-23
F02D,1,0,0,2024-07-11,2024-07-23
F02M,1,0,0,2024-07-11,2024-07-23
F03B,0,1,0,2024-07-11,2024-07-23
F03D,0,1,0,2024-07-11,2024-07-23
F03G,1,0,0,2024-07-11,2024-07-23
F04B,0,1,0,2024-07-11,2024-07-23
F04C,1,0,0,2024-07-11,2024-07-23
F04D,1,1,1,2024-07-11,2024-07-23
F15B,0,1,0,2024-07-11,2024-07-23
F16B,0,1,0,2024-07-11,2024-07-23
F16C,0,1,0,2024-07-11,2024-07-23
F16D,0,1,0,2024-07-11,2024-07-23
F16F,0,1,0,2024-07-11,2024-07-23
F16H,0,1,0,2024-07-11,2024-07-23
F16J,0,1,0,2024-07-11,2024-07-23
F16K,0,1,0,2024-07-11,2024-07-23
F16L,0,1,0,2024-07-11,2024-07-23
F16M,0,1,0,2024-07-11,2024-07-23
F17C,0,1,0,2024-07-11,2024-07-23
F17D,0,1,0,2024-07-11,2024-07-23
F21K,1,0,0,2024-07-11,2024-07-23
F21L,1,0,0,2024-07-11,2024-07-23
F21S,1,0,0,2024-07-11,2024-07-23
F21V,1,0,0,2024-07-11,2024-07-23
F22B,1,0,0,2024-07-11,2024-07-23
F23D,0,1,0,2024-07-11,2024-07-23
F23G,1,0,0,2024-07-11,2024-07-23
F23J,1,0,0,2024-07-11,2024-07-23
F23K,1,0,0,2024-07-11,2024-07-23
F23N,1,0,0,2024-07-11,2024-07-23
F24D,1,0,0,2024-07-11,2024-07-23
F24F,1,0,0,2024-07-11,2024-07-23
F24H,0,1,0,2024-07-11,2024-07-23
F24S,1,0,0,2024-07-11,2024-07-23
F24T,1,0,0,2024-07-11,2024-07-23
F25B,1,0,0,2024-07-11,2024-07-23
F25D,1,0,0,2024-07-11,2024-07-23
F25J,1,0,0,2024-07-11,2024-07-23
F26B,1,0,0,2024-07-11,2024-07-23
F27D,1,0,0,2024-07-11,2024-07-23
F28B,0,1,0,2024-07-11,2024-07-23
F28D,1,1,1,2024-07-11,2024-07-23
F28F,0,1,0,2024-07-11,2024-07-23
G01B,1,0,0,2024-07-11,2024-07-23
G01C,1,0,0,2024-07-11,2024-07-23
G01D,0,1,0,2024-07-11,2024-07-23
G01F,0,1,0,2024-07-11,2024-07-23
G01J,1,0,0,2024-07-11,2024-07-23
G01K,1,0,0,2024-07-11,2024-07-23
G01L,0,1,0,2024-07-11,2024-07-23
G01M,0,1,0,2024-07-11,2024-07-23
G01N,1,1,1,2024-07-11,2024-07-23
G01P,1,0,0,2024-07-11,2024-07-23
G01Q,0,1,0,2024-07-11,2024-07-23
G01R,1,0,0,2024-07-11,2024-07-23
G01S,1,0,0,2024-07-11,2024-07-23
G01T,0,1,0,2024-07-11,2024-07-23
G01V,0,1,0,2024-07-11,2024-07-23
G02B,0,1,0,2024-07-11,2024-07-23
G02F,0,1,0,2024-07-11,2024-07-23
G03B,1,0,0,2024-07-11,2024-07-23
G03F,0,1,0,2024-07-11,2024-07-23
G04F,0,1,0,2024-07-11,2024-07-23
G04G,1,0,0,2024-07-11,2024-07-23
G05B,1,1,1,2024-07-11,2024-07-23
G05D,0,1,0,2024-07-11,2024-07-23
G05F,0,1,0,2024-07-11,2024-07-23
G06F,1,1,1,2024-07-11,2024-07-23
G06K,1,0,0,2024-07-11,2024-07-23
G06M,1,0,0,2024-07-11,2024-07-23
G06N,1,1,1,2024-07-11,2024-07-23
G06Q,1,1,1,2024-07-11,2024-07-23
G06T,1,1,1,2024-07-11,2024-07-23
G06V,1,1,1,2024-07-11,2024-07-23
G07B,0,1,0,2024-07-11,2024-07-23
G07C,1,0,0,2024-07-11,2024-07-23
G07F,0,1,0,2024-07-11,2024-07-23
G08B,1,0,0,2024-07-11,2024-07-23
G08C,1,0,0,2024-07-11,2024-07-23
G08G,1,0,0,2024-07-11,2024-07-23
G09C,0,1,0,2024-07-11,2024-07-23
G09F,0,1,0,2024-07-11,2024-07-23
G09G,1,0,0,2024-07-11,2024-07-23
G10L,1,0,0,2024-07-11,2024-07-23
G11B,1,0,0,2024-07-11,2024-07-23
G11C,1,0,0,2024-07-11,2024-07-23
G16B,1,1,1,2024-07-11,2024-07-23
G16C,0,1,0,2024-07-11,2024-07-23
G16H,1,0,0,2024-07-11,2024-07-23
G16Y,0,1,0,2024-07-11,2024-07-23
G21C,1,0,0,2024-07-11,2024-07-23
G21F,1,0,0,2024-07-11,2024-07-23
H01B,1,0,0,2024-07-11,2024-07-23
H01F,1,0,0,2024-07-11,2024-07-23
H01G,1,0,0,2024-07-11,2024-07-23
H01H,1,0,0,2024-07-11,2024-07-23
H01L,1,1,1,2024-07-11,2024-07-23
H01M,1,0,0,2024-07-11,2024-07-23
H01Q,0,1,0,2024-07-11,2024-07-23
H01R,1,0,0,2024-07-11,2024-07-23
H01S,0,1,0,2024-07-11,2024-07-23
H02B,1,0,0,2024-07-11,2024-07-23
H02G,0,1,0,2024-07-11,2024-07-23
H02H,1,0,0,2024-07-11,2024-07-23
H02J,1,0,0,2024-07-11,2024-07-23
H02K,1,0,0,2024-07-11,2024-07-23
H02M,1,0,0,2024-07-11,2024-07-23
H02N,1,0,0,2024-07-11,2024-07-23
H02P,1,0,0,2024-07-11,2024-07-23
H02S,1,0,0,2024-07-11,2024-07-23
H03B,1,0,0,2024-07-11,2024-07-23
H03F,1,0,0,2024-07-11,2024-07-23
H03G,1,0,0,2024-07-11,2024-07-23
H03H,0,1,0,2024-07-11,2024-07-23
H03K,1,0,0,2024-07-11,2024-07-23
